bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
39,6dd20905230ebda745da1ec60c1f6a177c74e47c,294d73b24a5a83d0848e7d9445acb3c03d72cd02,CRYPTO-94,https://issues.apache.org/jira/browse/CRYPTO-94
40,294d73b24a5a83d0848e7d9445acb3c03d72cd02,ba14d801935decdb9399d6b2f038e0d1a71609e1,CRYPTO-94,https://issues.apache.org/jira/browse/CRYPTO-94
41,ba14d801935decdb9399d6b2f038e0d1a71609e1,4f356a7e477d258b7574aa5f2971c96a5b3cc012,CRYPTO-94,https://issues.apache.org/jira/browse/CRYPTO-94
42,4f356a7e477d258b7574aa5f2971c96a5b3cc012,859bdaa0489fe8e4e1e224b38975e73afceda506,CRYPTO-94,https://issues.apache.org/jira/browse/CRYPTO-94
43,859bdaa0489fe8e4e1e224b38975e73afceda506,4a19325fdffef571cadd05000e8a2e9c376cd6af,CRYPTO-94,https://issues.apache.org/jira/browse/CRYPTO-94
44,b5e7b1b44ede8156b635726a1178e5d280e750f7,ae8e3506d40589962d4414b72cab53a9ca92212b,CRYPTO-93,https://issues.apache.org/jira/browse/CRYPTO-93
45,98af9d7df9dc95dc02b178691679138653d17ed2,139c3f3c1a073076b7f73817016067845cfeced8,CRYPTO-99,https://issues.apache.org/jira/browse/CRYPTO-99
46,b8a49c41d40efc3911c0fc78310954f499effc8f,d06cb33d6e89975a905ff1c3a1b2b7674782d6ef,CRYPTO-101,https://issues.apache.org/jira/browse/CRYPTO-101
47,d06cb33d6e89975a905ff1c3a1b2b7674782d6ef,5b44a0039bd2c7f3c303511806eb773c53774974,CRYPTO-102,https://issues.apache.org/jira/browse/CRYPTO-102
48,678b2bfc48447a4fa88870d85668097733a98598,977d40918affc8056474f673dc7737a7e0ea598e,CRYPTO-98,https://issues.apache.org/jira/browse/CRYPTO-98
49,977d40918affc8056474f673dc7737a7e0ea598e,521615236a312ed98757493aa297d91c3ed8b241,CRYPTO-97,https://issues.apache.org/jira/browse/CRYPTO-97
50,55910b7b23250a37cde4ca4bccb1e2126c4dc78b,7274287f3277a3e62bac8c2270ded0d82e32fef5,CRYPTO-90,https://issues.apache.org/jira/browse/CRYPTO-90
51,929840b3a69c6b1ad13534c5132a9772d30155ed,3cd0564517a0a460556d4421dfbab1b60aa28471,CRYPTO-106,https://issues.apache.org/jira/browse/CRYPTO-106
